Wave,Player,Rank,Upside,Safety,FanDuel,DraftKings,Difference,Ownership,OverallModelScore,OverallSum,UpsideSum,SafetySum,StatsRank,CourseHistoryRank,RecentFormRank
PM,Fred Couples,80,81,82,"$7,000","$6,000","$1,000",0.2%,120,80.2,81.9,82.4,32.8,22.5,24.9
AM,Vijay Singh,81,80,83,"$7,000","$6,100",$900,0.1%,119,80.3,80.85,82.85,32,23.1,25.2
AM,Mike Weir,82,82,88,"$7,000","$6,000","$1,000",0.0%,111,81,82.8,87.3,32.4,21.6,27
AM,Jackson Herrington,83,83,80,"$7,000","$6,200",$800,0.0%,87,83.1,83.05,81.05,33.6,25.5,24
AM,Mateo Pulcini,84,84,81,"$7,000","$6,000","$1,000",0.0%,81,83.7,83.35,81.85,33.6,25.8,24.3
AM,Mason Howell,85,85,86,"$7,000","$6,000","$1,000",0.3%,75,84.2,84,86,33.2,24.9,26.1
AM,Naoyuki Kataoka,86,88,87,"$7,000","$6,200",$800,0.0%,57,85.8,86.6,86.1,34.8,25.2,25.8
AM,Ethan Fang,87,87,84,"$7,000","$6,100",$900,0.0%,56,85.9,86.45,83.45,35.2,26.1,24.6
AM,Brandon Holtz,88,86,85,"$7,000","$6,100",$900,0.0%,51,86.3,85.85,85.35,34.4,26.4,25.5
PM,Fifa Laopakdee,89,89,90,"$7,000","$6,100",$900,0.0%,20,89,89,89,35.6,26.7,26.7
AM,Jose Maria Olazabal,90,90,89,"$7,000","$6,000","$1,000",0.0%,12,89.7,89.55,88.55,36,27.3,26.4
AM,Angel Cabrera,91,91,91,"$7,000","$6,100",$900,0.1%,1,90.7,90.95,90.95,36.4,27,27.3
